 商品説明カテゴリ 住まい、インテリア 仏壇、仏具 仏具一般状態 未使用 ☆状 態 ☆新品未使用仏具卸、小売店に納める商品（密教法具）を製造価格で工房より直出品です。サイズ：精密工芸品 唐密真言宗 仏具 金剛盤90㎜ 金剛鈴70㎜ 五鈷杵60㎜ 三鈷杵60㎜ 独鈷杵60㎜ 五点セット 90㎜前後 真鍮磨き仕上 純銅製支払詳細・Yahoo!かんたん決済発送詳細・発送飛脚宅配便(佐川急便)※発送日より約7日～13日で到着。配送日数：通常の目安を記載してあります。繁忙期、販売店の休祝日、税関等の影響で遅れる場合もございます。 ※週末は休日なので、出荷することはできません。 ご落札後24時間内ご連絡を頂きます、 お客様が早くご連絡ほど商品が早く届けます■注意事項※落札後、在庫状況により、商品変更か取引キャンセルか対応する場合がございますので、是非、その時ご理解とご容赦のほどよろしくお願いします※素人採寸ですので参考までにお願いします※色は光の加減で見え方が変わることがありますのでご了承願いします※スムーズに取引できますように心がけておりますので、どうぞよろしくお願いいたします※基本的に入札後、落札後のキャンセルはお受けいたしておりません※著しく評価の悪い方、新規の方は当方の基準で入札を削除する場合がありますいますのでご注意く支払詳細・Yahoo!かんたん決済発送詳細・発送飛脚宅配便(佐川急便)※発送日より約7日～13日で到着。配送日数：通常の目安を記載してあります。繁忙期、販売店の休祝日、税関等の影響で遅れる場合もございます。 ※週末は休日なので、出荷することはできません。 ご落札後24時間内ご連絡を頂きます、 お客様が早くご連絡ほど商品が早く届けます■注意事項※落札後、在庫状況により、商品変更か取引キャンセルか対応する場合がございますので、是非、その時ご理解とご容赦のほどよろしくお願いします※素人採寸ですので参考までにお願いします※色は光の加減で見え方が変わることがありますのでご了承願いします※スムーズに取引できますように心がけておりますので、どうぞよろしくお願いいたします※基本的に入札後、落札後のキャンセルはお受けいたしておりません※著しく評価の悪い方、新規の方は当方の基準で入札を削除する場合がありますいますのでご注意く , 未使用 ,"s782474853
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
 ★商品について：新品未使用 ★商品コード: MA138 ★カラー：写真参照1 ★素材：紫砂国際スピード郵便Yahoo!かんたん決済（詳細）【配送方法、送料】 ●送料：全国一律1500円※在庫の保管状況により、他商品との同梱には対応しておりません。 ●国際スピード郵便の場合：通常の情況 .ご入金頂いてから通常6日から8日程度のお届けです。（天候悪化、祝日、税関検査に伴い配送状況に遅延が発生する場合もあり、予めいご了承してください） ●荷物状況の追跡が可能です。 【注意事項 】■画面の環境により写真のイメージと異なる場合がありますので、あらかじめご確認ください。■オークション終了日から 7日経過してもご連絡&amp;ご決済が完了しない場合、お客様都合の削除処理を行います。この処理を行いますとお客様の評価を Yahoo! のシステム上、自動的に悪いが入ります。 ご注意頂きます様お願い申し上げます■万が一 「不良品」 「ご注文内容異なる」 商品を届く場合は 到着後3日以内に写真を撮ってかメールでご連絡ください。商品の在庫がある場合は交換が可能ですが 欠品の場合は全額返金、誠実に対応させて頂きます。3日を経過した場合は、対応がができきかねますのでお気をつけくださいませ。 ■通関手続きや天候の影響で遅れる場合や発送中に問題が発生した場合は迅速に対応をさせて頂きますので、突然の悪い評価でのご連絡はお控え下さい。 , 未使用 ,"s787483102
"
" 大きさ：高さ約12cm 口径約6cm 胴径約１１．５ｃｍ 三つ葉葵紋の三足香炉です。経年による汚れ・擦れキズ等がご在ますが、割れや、欠け等は見受けられません。ノークレーム・ノーリターンでお願いします。落札後２４時間以内の取引連絡ができ、２日以内に送金手続きが可能な方のみ応札して下さい。 評価ゼロ以下（新規含む）またキャンセルの多い方はご遠慮して下さい。場合によっては予告なしでの入札取り消しがありますのでご了承下さい。（どうしてもの方は質問欄でその旨をお知らせ下さい。検討いたします。） 写真（炉内の物は、フラッシュのため、色が他と違います。）をよくご覧頂き、納得の上での,入札を宜しくお願い致します。発送はゆうパックで 、サイズは６０です。 ", やや傷や汚れあり ,"g472858125
"
" 大きさ：高さ約12cm 口径約6cm 胴径約１１．５ｃｍ 三つ葉葵紋の三足香炉です。経年による汚れ・擦れキズ等がご在ますが、割れや、欠け等は見受けられません。ノークレーム・ノーリターンでお願いします。落札後２４時間以内の取引連絡ができ、２日以内に送金手続きが可能な方のみ応札して下さい。 評価ゼロ以下（新規含む）またキャンセルの多い方はご遠慮して下さい。場合によっては予告なしでの入札取り消しがありますのでご了承下さい。（どうしてもの方は質問欄でその旨をお知らせ下さい。検討いたします。） 写真（炉内の物は、フラッシュのため、色が他と違います。）をよくご覧頂き、納得の上での,入札を宜しくお願い致します。発送はゆうパックで 、サイズは６０です。 ", やや傷や汚れあり ,"g472858125
"
" 大きさ：高さ約12cm 口径約6cm 胴径約１１．５ｃｍ 三つ葉葵紋の三足香炉です。経年による汚れ・擦れキズ等がご在ますが、割れや、欠け等は見受けられません。ノークレーム・ノーリターンでお願いします。落札後２４時間以内の取引連絡ができ、２日以内に送金手続きが可能な方のみ応札して下さい。 評価ゼロ以下（新規含む）またキャンセルの多い方はご遠慮して下さい。場合によっては予告なしでの入札取り消しがありますのでご了承下さい。（どうしてもの方は質問欄でその旨をお知らせ下さい。検討いたします。） 写真（炉内の物は、フラッシュのため、色が他と違います。）をよくご覧頂き、納得の上での,入札を宜しくお願い致します。発送はゆうパックで 、サイズは６０です。 ", やや傷や汚れあり ,"g472858125
"
" 大きさ：高さ約12cm 口径約6cm 胴径約１１．５ｃｍ 三つ葉葵紋の三足香炉です。経年による汚れ・擦れキズ等がご在ますが、割れや、欠け等は見受けられません。ノークレーム・ノーリターンでお願いします。落札後２４時間以内の取引連絡ができ、２日以内に送金手続きが可能な方のみ応札して下さい。 評価ゼロ以下（新規含む）またキャンセルの多い方はご遠慮して下さい。場合によっては予告なしでの入札取り消しがありますのでご了承下さい。（どうしてもの方は質問欄でその旨をお知らせ下さい。検討いたします。） 写真（炉内の物は、フラッシュのため、色が他と違います。）をよくご覧頂き、納得の上での,入札を宜しくお願い致します。発送はゆうパックで 、サイズは６０です。 ", やや傷や汚れあり ,"g472858125
"
